"name","margulis upper","left geod","left power","right geod","right power","ortho"
"m178(-1,4)",1.139697635131066,0.46687+2.41094j,1,0.75013-2.93012j,1,0.96803-1.71646j
"m199(-5,1)",1.0623243992893365,0.52853+1.26242j,1,0.57723-2.67456j,1,1.14635-2.91804j
"m188(3,4)",1.0366094503404202,0.58519+2.28565j,1,0.78868-1.83633j,1,0.85143+2.07222j
"s118(-5,1)",1.0053710569072012,0.50868+1.39851j,1,0.50868+1.39851j,1,1.23749+2.78099j
"m337(-3,1)",1.0366498141743024,0.707+1.54223j,1,0.73849-2.56485j,1,0.86319+0.3901j
"m337(-3,1)",1.0366498141743024,0.707+1.54223j,1,0.73849-2.56485j,1,0.86319+0.3901j
"m188(5,1)",1.0797443996863398,0.31701-1.32981j,1,0.79279+2.30031j,1,1.15853-1.08091j
"m188(5,1)",1.0088685947914289,0.61778-1.66521j,1,0.68624+2.30946j,1,0.89504-1.13329j
"m188(5,1)",1.0821329049085062,0.68624+2.30946j,1,0.79279+2.30031j,1,0.82882-0.62543j
"m188(5,1)",1.1942824699323766,0.61778-1.66521j,1,0.79279+2.30031j,1,1.10823-0.48864j
"m220(-5,1)",1.2546442555811308,0.50158+2.61775j,1,0.50158+2.61775j,1,1.17235+2.67283j
"m199(6,1)",1.0832412134922864,0.32742-0.99111j,1,0.53187-2.52519j,1,1.42425+2.61906j
"m199(6,1)",1.0883586268345757,0.46537+1.35301j,1,0.53187-2.52519j,1,1.20567+3.13731j
"m223(-1,3)",1.0570651962815478,0.68912+1.96968j,1,0.70958-2.18759j,1,0.88022+0.84805j
"m210(-5,1)",1.0959164708170759,0.43728-1.1888j,1,0.50295-2.48321j,1,1.30236+2.539j
"m220(6,1)",1.3461284630127501,0.45558+2.71332j,1,0.45558+2.71332j,1,1.28078-0.69041j
"s173(5,1)",1.014822020820019,0.42781-1.22962j,1,0.79164+2.17019j,1,1.06342+2.06861j
"m222(6,1)",1.6471392330193597,0.76534+2.75411j,1,0.76534+2.75411j,1,1.44571-0.19495j
"m222(6,1)",1.01867390663545,0.32989-0.93518j,1,0.76534+2.75411j,1,1.25119-0.40686j
"m289(6,1)",1.0752191758793583,0.53028-0.73065j,1,0.73526-2.97383j,1,1.34219-0.37796j
"m222(-6,1)",1.496490513435122,0.7767-1.97664j,1,0.7767-1.97664j,1,1.42584+0.8585j
"m222(-6,1)",1.0164591624936041,0.33486+0.91107j,1,0.7767-1.97664j,1,1.29882-2.24466j
"m304(5,1)",1.2382186448574786,0.73286-2.4667j,1,0.73286-2.4667j,1,1.02366+1.06253j
